week	st	1st	2nd	3rd
1900	BCH1	ESQU	MA01	COYQ
1901	BCH1	ESQU	MA01	COYQ
1902	BCH1	ESQU	MA01	COYQ
1903	BCH1	ESQU	MA01	COYQ
1904	BCH1	ESQU	MA01	COYQ
1905	BCH1	MA01	COYQ	RWSN
1906	BCH1	ESQU	MA01	COYQ
1907	BCH1	ESQU	MA01	COYQ
1908	BCH1	ESQU	MA01	COYQ
1909	BCH1	ESQU	MA01	COYQ
1910	BCH1	ESQU	MA01	COYQ
1911	BCH1	ESQU	MA01	COYQ
1912	BCH1	ESQU	MA01	COYQ
1913	BCH1	ESQU	MA01	COYQ
1914	BCH1	ESQU	MA01	COYQ
1915	BCH1	ESQU	MA01	COYQ
1916	BCH1	ESQU	MA01	COYQ
1917	BCH1	ESQU	MA01	COYQ
1918	BCH1	ESQU	MA01	COYQ
1919	BCH1	ESQU	MA01	COYQ
1920	BCH1	ESQU	MA01	COYQ
1921	BCH1	ESQU	MA01	COYQ
1922	BCH1	ESQU	MA01	COYQ
1923	BCH1	ESQU	MA01	COYQ
1924	BCH1	ESQU	MA01	COYQ
1925	BCH1	ESQU	MA01	COYQ
1926	BCH1	ESQU	MA01	COYQ
1927	BCH1	ESQU	MA01	COYQ
1928	BCH1	ESQU	MA01	COYQ
1929	BCH1	ESQU	MA01	COYQ
1930	BCH1	ESQU	MA01	COYQ
1931	BCH1	ESQU	MA01	COYQ
1932	BCH1	ESQU	MA01	COYQ
1933	BCH1	ESQU	MA01	COYQ
1934	BCH1	ESQU	MA01	COYQ
1935	BCH1	ESQU	MA01	COYQ
1936	BCH1	ESQU	MA01	COYQ
1937	BCH1	ESQU	MA01	COYQ
1938	BCH1	ESQU	MA01	COYQ
1939	BCH1	ESQU	MA01	COYQ
1940	BCH1	ESQU	MA01	COYQ
1941	BCH1	ESQU	MA01	COYQ
1942	BCH1	ESQU	MA01	COYQ
1943	BCH1	ESQU	MA01	COYQ
1944	BCH1	ESQU	MA01	COYQ
1945	BCH1	ESQU	MA01	COYQ
1946	BCH1	ESQU	MA01	RWSN
1947	BCH1	ESQU	MA01	RWSN
1948	BCH1	ESQU	MA01	RWSN
1949	BCH1	ESQU	MA01	RWSN
1950	BCH1	ESQU	MA01	RWSN
1951	BCH1	ESQU	MA01	COYQ
1952	BCH1	ESQU	MA01	COYQ
1953	BCH1	ESQU	MA01	COYQ
1954	BCH1	ESQU	MA01	COYQ
1955	BCH1	ESQU	MA01	COYQ
1956	BCH1	ESQU	MA01	COYQ
1957	BCH1	ESQU	MA01	COYQ
1958	BCH1	ESQU	MA01	COYQ
1959	BCH1	ESQU	MA01	COYQ
1960	BCH1	ESQU	MA01	COYQ
1961	BCH1	ESQU	MA01	COYQ
1962	BCH1	ESQU	MA01	COYQ
1963	BCH1	ESQU	MA01	COYQ
1964	BCH1	ESQU	MA01	COYQ
1965	BCH1	ESQU	MA01	COYQ
1966	BCH1	ESQU	MA01	COYQ
1967	BCH1	ESQU	MA01	COYQ
1968	BCH1	ESQU	MA01	COYQ
1969	BCH1	ESQU	MA01	COYQ
1970	BCH1	ESQU	MA01	COYQ
1971	BCH1	ESQU	MA01	COYQ
1972	BCH1	ESQU	MA01	COYQ
1640	CATA	JBAL	ALUM	TERO
1641	CATA	JBAL	ALUM	TERO
1642	CATA	JBAL	ALUM	TERO
1643	CATA	JBAL	ALUM	TERO
1644	CATA	JBAL	ALUM	TERO
1645	CATA	JBAL	ALUM	TERO
1646	CATA	JBAL	ALUM	TERO
1647	CATA	JBAL	ALUM	TERO
1648	CATA	JBAL	ALUM	TERO
1649	CATA	JBAL	ALUM	TERO
1650	CATA	JBAL	ALUM	TERO
1651	CATA	JBAL	ALUM	TERO
1652	CATA	JBAL	ALUM	TERO
1653	CATA	JBAL	ALUM	TERO
1654	CATA	JBAL	ALUM	TERO
1655	CATA	JBAL	ALUM	TERO
1656	CATA	JBAL	ALUM	TERO
1657	CATA	JBAL	ALUM	TERO
1658	CATA	JBAL	ALUM	TERO
1659	CATA	JBAL	ALUM	TERO
1660	CATA	JBAL	ALUM	TERO
1661	CATA	JBAL	ALUM	TERO
1662	CATA	JBAL	ALUM	TERO
1663	CATA	JBAL	ALUM	TERO
1664	CATA	JBAL	ALUM	TERO
1665	CATA	JBAL	ALUM	TERO
1666	CATA	JBAL	ALUM	TERO
1667	CATA	JBAL	ALUM	TERO
1668	CATA	JBAL	ALUM	TERO
1669	CATA	JBAL	ALUM	TERO
1670	CATA	JBAL	ALUM	TERO
1671	CATA	JBAL	ALUM	TERO
1672	CATA	JBAL	TERO	TUCU
1673	CATA	JBAL	ALUM	TERO
1674	CATA	JBAL	ALUM	TERO
1675	CATA	JBAL	ALUM	TERO
1676	CATA	ALUM	TERO	TUCU
1677	CATA	JBAL	ALUM	TERO
1678	CATA	JBAL	ALUM	TERO
1679	CATA	JBAL	ALUM	TERO
1680	CATA	JBAL	ALUM	TERO
1681	CATA	JBAL	ALUM	TERO
1682	CATA	JBAL	ALUM	TERO
1683	CATA	JBAL	ALUM	TERO
1684	CATA	JBAL	ALUM	TERO
1685	CATA	JBAL	ALUM	TERO
1686	CATA	JBAL	ALUM	TERO
1687	CATA	JBAL	ALUM	TERO
1688	CATA	JBAL	ALUM	TERO
1689	CATA	JBAL	ALUM	TERO
1690	CATA	JBAL	ALUM	TERO
1691	CATA	JBAL	ALUM	TERO
1692	CATA	JBAL	ALUM	TERO
1693	CATA	JBAL	ALUM	TERO
1694	CATA	JBAL	ALUM	TERO
1695	CATA	JBAL	ALUM	TERO
1696	CATA	JBAL	ALUM	TERO
1697	CATA	JBAL	ALUM	TERO
1698	CATA	JBAL	ALUM	TERO
1699	CATA	JBAL	ALUM	TERO
1700	CATA	JBAL	ALUM	TERO
1701	CATA	JBAL	ALUM	TERO
1702	CATA	JBAL	ALUM	TERO
1703	CATA	JBAL	ALUM	TERO
1704	CATA	JBAL	ALUM	TERO
1705	CATA	JBAL	ALUM	TERO
1706	CATA	JBAL	ALUM	TERO
1707	CATA	JBAL	ALUM	TERO
1708	CATA	JBAL	ALUM	TERO
1709	CATA	JBAL	ALUM	TERO
1710	CATA	JBAL	ALUM	TERO
1711	CATA	JBAL	ALUM	TERO
1712	CATA	JBAL	ALUM	TERO
1713	CATA	JBAL	ALUM	TERO
1714	CATA	JBAL	ALUM	TERO
1715	CATA	JBAL	ALUM	TERO
1716	CATA	JBAL	ALUM	TERO
1717	CATA	JBAL	ALUM	TERO
1718	CATA	JBAL	ALUM	TERO
1719	CATA	JBAL	ALUM	TERO
1720	CATA	JBAL	ALUM	TERO
1721	CATA	JBAL	ALUM	TERO
1722	CATA	JBAL	ALUM	TERO
1723	CATA	JBAL	ALUM	TERO
1724	CATA	JBAL	ALUM	TERO
1725	CATA	JBAL	ALUM	TERO
1726	CATA	JBAL	ALUM	TERO
1727	CATA	JBAL	ALUM	TERO
1728	CATA	JBAL	ALUM	TERO
1729	CATA	JBAL	ALUM	TERO
1730	CATA	JBAL	ALUM	TERO
1731	CATA	JBAL	ALUM	TERO
1732	CATA	JBAL	ALUM	TERO
1733	CATA	JBAL	ALUM	TERO
1734	CATA	JBAL	ALUM	TERO
1735	CATA	JBAL	ALUM	TERO
1736	CATA	JBAL	ALUM	TERO
1737	CATA	JBAL	ALUM	TERO
1738	CATA	JBAL	ALUM	TERO
1739	CATA	JBAL	ALUM	TERO
1740	CATA	JBAL	ALUM	TERO
1741	CATA	JBAL	ALUM	TERO
1742	CATA	JBAL	ALUM	TERO
1743	CATA	JBAL	ALUM	TERO
1744	CATA	JBAL	ALUM	TERO
1745	CATA	JBAL	ALUM	TERO
1746	CATA	JBAL	ALUM	TERO
1747	CATA	JBAL	ALUM	TERO
1748	CATA	JBAL	ALUM	TERO
1749	CATA	JBAL	ALUM	TERO
1750	CATA	JBAL	ALUM	TERO
1751	CATA	JBAL	ALUM	TERO
1752	CATA	JBAL	ALUM	TERO
1753	CATA	JBAL	ALUM	TERO
1754	CATA	JBAL	ALUM	TERO
1755	CATA	JBAL	ALUM	TERO
1756	CATA	JBAL	ALUM	TERO
1757	CATA	JBAL	ALUM	TERO
1758	CATA	JBAL	ALUM	TERO
1759	CATA	JBAL	ALUM	TERO
1760	CATA	JBAL	ALUM	TERO
1761	CATA	JBAL	ALUM	TERO
1762	CATA	JBAL	ALUM	TERO
1763	CATA	JBAL	ALUM	TERO
1764	CATA	JBAL	ALUM	TERO
1765	CATA	JBAL	ALUM	TERO
1766	CATA	JBAL	ALUM	TERO
1767	CATA	JBAL	ALUM	TERO
1769	CATA	JBAL	ALUM	TERO
1770	CATA	JBAL	ALUM	TERO
1771	CATA	JBAL	ALUM	TERO
1772	CATA	JBAL	ALUM	TERO
1773	CATA	JBAL	TERO	UCOR
1774	CATA	JBAL	TERO	UCOR
1775	CATA	JBAL	TERO	UCOR
1776	CATA	JBAL	ALUM	TERO
1777	CATA	JBAL	ALUM	TERO
1778	CATA	JBAL	ALUM	TERO
1779	CATA	JBAL	ALUM	TERO
1780	CATA	JBAL	ALUM	TERO
1781	CATA	JBAL	ALUM	TERO
1782	CATA	JBAL	ALUM	TERO
1783	CATA	JBAL	ALUM	TERO
1784	CATA	JBAL	ALUM	TERO
1785	CATA	JBAL	ALUM	TERO
1786	CATA	JBAL	ALUM	TERO
1787	CATA	JBAL	ALUM	TERO
1788	CATA	JBAL	ALUM	TERO
1789	CATA	JBAL	ALUM	TERO
1790	CATA	JBAL	ALUM	TERO
1791	CATA	JBAL	ALUM	TERO
1792	CATA	JBAL	ALUM	TERO
1793	CATA	JBAL	ALUM	TERO
1794	CATA	JBAL	ALUM	TERO
1795	CATA	JBAL	ALUM	TERO
1796	CATA	JBAL	ALUM	TERO
1797	CATA	JBAL	ALUM	TERO
1798	CATA	JBAL	ALUM	TERO
1799	CATA	JBAL	ALUM	TERO
1800	CATA	JBAL	TERO	TUCU
1801	CATA	JBAL	TERO	TUCU
1802	CATA	JBAL	ALUM	TERO
1803	CATA	JBAL	ALUM	TERO
1804	CATA	JBAL	ALUM	TERO
1805	CATA	JBAL	ALUM	TERO
1806	CATA	JBAL	ALUM	TERO
1807	CATA	JBAL	ALUM	TERO
1808	CATA	JBAL	ALUM	TERO
1809	CATA	JBAL	ALUM	TERO
1810	CATA	JBAL	ALUM	TERO
1811	CATA	JBAL	ALUM	TERO
1812	CATA	JBAL	ALUM	TERO
1813	CATA	JBAL	ALUM	TERO
1814	CATA	JBAL	ALUM	TERO
1815	CATA	JBAL	ALUM	TERO
1816	CATA	JBAL	ALUM	TERO
1817	CATA	JBAL	ALUM	TERO
1818	CATA	JBAL	ALUM	TERO
1819	CATA	JBAL	ALUM	TERO
1820	CATA	JBAL	ALUM	TERO
1821	CATA	JBAL	ALUM	TERO
1822	CATA	JBAL	ALUM	TERO
1823	CATA	JBAL	ALUM	TERO
1824	CATA	JBAL	ALUM	TERO
1825	CATA	JBAL	ALUM	TERO
1826	CATA	JBAL	ALUM	TERO
1827	CATA	JBAL	ALUM	TERO
1828	CATA	JBAL	ALUM	TERO
1830	CATA	ALUM	TERO	TUCU
1833	CATA	ALUM	TERO	TUCU
1834	CATA	ALUM	TERO	TUCU
1835	CATA	ALUM	TERO	TUCU
1836	CATA	ALUM	TERO	TUCU
1837	CATA	ALUM	TERO	TUCU
1838	CATA	ALUM	TERO	TUCU
1839	CATA	ALUM	TERO	TUCU
1840	CATA	JBAL	ALUM	TERO
1841	CATA	JBAL	ALUM	TERO
1842	CATA	JBAL	ALUM	TERO
1843	CATA	JBAL	ALUM	TERO
1844	CATA	JBAL	ALUM	TERO
1845	CATA	JBAL	ALUM	TERO
1846	CATA	JBAL	ALUM	TERO
1847	CATA	JBAL	ALUM	TERO
1848	CATA	JBAL	ALUM	TERO
1849	CATA	JBAL	ALUM	TERO
1850	CATA	JBAL	ALUM	TERO
1851	CATA	JBAL	ALUM	TERO
1852	CATA	JBAL	ALUM	TERO
1853	CATA	JBAL	ALUM	TERO
1854	CATA	JBAL	ALUM	TERO
1855	CATA	JBAL	ALUM	TERO
1856	CATA	JBAL	ALUM	TERO
1858	CATA	JBAL	ALUM	TERO
1859	CATA	JBAL	ALUM	TERO
1860	CATA	JBAL	ALUM	TERO
1861	CATA	JBAL	ALUM	TERO
1862	CATA	JBAL	ALUM	TERO
1863	CATA	JBAL	ALUM	TERO
1864	CATA	JBAL	ALUM	TERO
1865	CATA	JBAL	ALUM	TERO
1866	CATA	JBAL	ALUM	TERO
1867	CATA	JBAL	ALUM	TERO
1868	CATA	JBAL	ALUM	TERO
1869	CATA	JBAL	ALUM	TERO
1870	CATA	JBAL	ALUM	TERO
1871	CATA	JBAL	ALUM	TERO
1872	CATA	JBAL	ALUM	TERO
1873	CATA	JBAL	ALUM	TERO
1874	CATA	JBAL	ALUM	TERO
1875	CATA	JBAL	ALUM	TERO
1876	CATA	JBAL	ALUM	TERO
1877	CATA	JBAL	ALUM	TERO
1878	CATA	ALUM	TERO	CORD
1880	CATA	ALUM	CORD	UCOR
1882	CATA	JBAL	CORD	UCOR
1883	CATA	JBAL	CORD	UCOR
1884	CATA	JBAL	CORD	UCOR
1885	CATA	JBAL	TERO	CORD
1886	CATA	JBAL	TERO	CORD
1887	CATA	JBAL	TERO	CORD
1888	CATA	JBAL	TERO	CORD
1889	CATA	CORD	UNSA	CHAC
1890	CATA	TERO	CORD	UCOR
1891	CATA	JBAL	TERO	CORD
1892	CATA	JBAL	TERO	CORD
1893	CATA	JBAL	TERO	CORD
1894	CATA	TERO	CORD	UCOR
1895	CATA	TERO	CORD	UCOR
1896	CATA	JBAL	TERO	CORD
1897	CATA	JBAL	TERO	CORD
1898	CATA	JBAL	TERO	CORD
1899	CATA	JBAL	TERO	CORD
1900	CATA	JBAL	TERO	CORD
1901	CATA	JBAL	TERO	CORD
1902	CATA	JBAL	TERO	CORD
1903	CATA	JBAL	TERO	CORD
1904	CATA	JBAL	TERO	CORD
1905	CATA	JBAL	TERO	CORD
1906	CATA	JBAL	TERO	CORD
1907	CATA	JBAL	TERO	CORD
1908	CATA	JBAL	CORD	UCOR
1909	CATA	JBAL	TERO	TUCU
1910	CATA	JBAL	TERO	TUCU
1911	CATA	JBAL	TERO	TUCU
1912	CATA	JBAL	TERO	TUCU
1913	CATA	JBAL	TERO	TUCU
1914	CATA	JBAL	TERO	TUCU
1915	CATA	JBAL	TERO	TUCU
1916	CATA	JBAL	TERO	TUCU
1917	CATA	JBAL	TERO	TUCU
1918	CATA	JBAL	TERO	CORD
1919	CATA	JBAL	TERO	CORD
1920	CATA	JBAL	TERO	CORD
1921	CATA	JBAL	TERO	CORD
1922	CATA	JBAL	TERO	CORD
1923	CATA	JBAL	TERO	TUCU
1924	CATA	JBAL	TERO	TUCU
1925	CATA	JBAL	TERO	TUCU
1926	CATA	JBAL	TERO	TUCU
1927	CATA	JBAL	TERO	TUCU
1928	CATA	JBAL	TERO	TUCU
1929	CATA	JBAL	TERO	TUCU
1930	CATA	JBAL	TERO	TUCU
1931	CATA	JBAL	TERO	TUCU
1932	CATA	JBAL	TERO	TUCU
1933	CATA	JBAL	TERO	TUCU
1934	CATA	JBAL	TERO	TUCU
1935	CATA	JBAL	TERO	TUCU
1936	CATA	JBAL	TERO	TUCU
1937	CATA	JBAL	TERO	TUCU
1938	CATA	JBAL	TERO	TUCU
1939	CATA	JBAL	TERO	TUCU
1940	CATA	JBAL	TERO	TUCU
1941	CATA	JBAL	TERO	TUCU
1942	CATA	JBAL	TERO	TUCU
1943	CATA	JBAL	TUCU	CORD
1944	CATA	JBAL	TUCU	CORD
1945	CATA	JBAL	TUCU	CORD
1946	CATA	JBAL	TUCU	CORD
1947	CATA	JBAL	TERO	TUCU
1948	CATA	JBAL	TERO	TUCU
1949	CATA	JBAL	TERO	TUCU
1950	CATA	JBAL	TERO	TUCU
1951	CATA	JBAL	TERO	TUCU
1952	CATA	JBAL	TERO	TUCU
1953	CATA	JBAL	TERO	TUCU
1954	CATA	JBAL	TERO	TUCU
1955	CATA	JBAL	TERO	TUCU
1956	CATA	JBAL	TERO	TUCU
1957	CATA	JBAL	TERO	TUCU
1958	CATA	JBAL	TERO	TUCU
1959	CATA	JBAL	TERO	TUCU
1960	CATA	JBAL	TERO	TUCU
1961	CATA	JBAL	TERO	TUCU
1962	CATA	JBAL	TERO	TUCU
1963	CATA	JBAL	TERO	TUCU
1964	CATA	JBAL	TERO	TUCU
1965	CATA	JBAL	TERO	TUCU
1966	CATA	JBAL	TERO	TUCU
1967	CATA	JBAL	TERO	TUCU
1968	CATA	JBAL	TERO	TUCU
1969	CATA	JBAL	TERO	TUCU
1970	CATA	JBAL	TERO	TUCU
1971	CATA	JBAL	TERO	TUCU
1972	CATA	JBAL	TERO	TUCU
1677	CHAC	MECO	SVIC	GUAY
1678	CHAC	MECO	SVIC	GUAY
1679	CHAC	SVIC	GUAY	PRNA
1680	CHAC	SVIC	GUAY	PRNA
1681	CHAC	SVIC	GUAY	PRNA
1682	CHAC	SVIC	GUAY	PRNA
1683	CHAC	SVIC	GUAY	PRNA
1684	CHAC	SVIC	GUAY	PRNA
1685	CHAC	SVIC	GUAY	PRNA
1686	CHAC	SVIC	GUAY	PRNA
1687	CHAC	SVIC	GUAY	TERO
1688	CHAC	SVIC	GUAY	PRNA
1689	CHAC	SVIC	GUAY	PRNA
1690	CHAC	SVIC	GUAY	PRNA
1691	CHAC	SVIC	GUAY	PRNA
1692	CHAC	EBYP	SVIC	GUAY
1693	CHAC	EBYP	SVIC	GUAY
1694	CHAC	MECO	EBYP	SVIC
1695	CHAC	MECO	EBYP	SVIC
1696	CHAC	MECO	EBYP	SVIC
1697	CHAC	MECO	EBYP	SVIC
1698	CHAC	MECO	EBYP	SVIC
1699	CHAC	MECO	EBYP	SVIC
1700	CHAC	MECO	EBYP	SVIC
1701	CHAC	MECO	EBYP	SVIC
1702	CHAC	MECO	EBYP	SVIC
1703	CHAC	MECO	EBYP	SVIC
1704	CHAC	MECO	EBYP	SVIC
1705	CHAC	MECO	EBYP	SVIC
1706	CHAC	MECO	EBYP	SVIC
1707	CHAC	MECO	EBYP	SVIC
1708	CHAC	MECO	EBYP	SVIC
1709	CHAC	EBYP	SVIC	GUAY
1710	CHAC	EBYP	SVIC	GUAY
1711	CHAC	EBYP	SVIC	GUAY
1712	CHAC	MECO	EBYP	SVIC
1713	CHAC	MECO	EBYP	SVIC
1714	CHAC	MECO	EBYP	SVIC
1715	CHAC	MECO	EBYP	SVIC
1716	CHAC	EBYP	SVIC	GUAY
1717	CHAC	EBYP	SVIC	GUAY
1718	CHAC	EBYP	SVIC	GUAY
1719	CHAC	EBYP	SVIC	GUAY
1720	CHAC	EBYP	SVIC	GUAY
1721	CHAC	EBYP	SVIC	GUAY
1722	CHAC	EBYP	SVIC	GUAY
1723	CHAC	EBYP	SVIC	GUAY
1724	CHAC	EBYP	SVIC	GUAY
1725	CHAC	EBYP	SVIC	GUAY
1726	CHAC	EBYP	SVIC	GUAY
1727	CHAC	EBYP	SVIC	GUAY
1728	CHAC	EBYP	SVIC	GUAY
1729	CHAC	EBYP	SVIC	GUAY
1730	CHAC	EBYP	SVIC	GUAY
1731	CHAC	EBYP	SVIC	GUAY
1732	CHAC	EBYP	SVIC	GUAY
1733	CHAC	EBYP	SVIC	GUAY
1734	CHAC	EBYP	GUAY	PRNA
1735	CHAC	EBYP	SVIC	GUAY
1736	CHAC	EBYP	SVIC	GUAY
1737	CHAC	EBYP	SVIC	GUAY
1738	CHAC	EBYP	SVIC	GUAY
1739	CHAC	EBYP	SVIC	GUAY
1740	CHAC	EBYP	SVIC	GUAY
1741	CHAC	EBYP	SVIC	GUAY
